4;0.458;0.457;4;13
2;0.075;0.075;9;12
2;4.586;5.102;483432;483436
10;0.413;0.413;58;101
19;0.75;0.75;58;115
20;0.741;0.741;30;95
36;1.359;1.359;46;90
12;3.932;3.996;483681;484134
33;1.552;1.555;22343;22393
4;0.145;0.145;1;4
7;0.247;0.247;3;9
7;0.276;0.276;1;7
6;0.873;0.882;23543;57020
6;0.208;0.208;1;6
6;0.218;0.218;1;6
4;0.163;0.163;1;4
15;0.587;0.587;104;126
8;0.274;0.274;40;49
13;0.569;0.57;1343;2783
13;0.553;0.553;669;686
11;0.481;0.481;68;79
8;0.254;0.254;2;9
8;0.312;0.312;3;10
8;0.267;0.267;1;8
5;0.219;0.219;667;2085
10;3.759;3.814;483432;483447
9;3.698;3.764;483427;483438
3;0.103;0.103;33;35
4;0.133;0.133;21;24
4;0.146;0.146;1;4
14;0.56;0.56;972;1402
12;0.457;0.457;342;370
20;0.77;0.77;1896;3339
8;0.303;0.303;79;91
6;0.223;0.223;761;859
10;0.729;0.735;12404;22607
22;1.88;1.892;23033;119809
2;0.757;0.757;83173;92584
2;0.716;0.716;83173;92584
4;0.811;0.825;83270;99800
3;3.452;3.515;483462;483490
4;0.263;0.268;19263;19273
16;0.861;0.863;4869;30549
5;5.659;5.736;598765;665384
3;4.533;4.594;570921;625412
100;3.149;3.149;4;103
18;0.958;0.957;4958;19306
38;1.313;1.312;350;1612
100;3.193;3.193;3;103
17;0.852;0.853;5141;18958
26;0.834;0.834;243;939
5;0.186;0.186;18;28
5;0.219;0.219;45;57
3;0.299;0.303;18262;20167
18;1.276;1.279;12692;83977
1;3.437;3.437;483427;483427
1;3.471;3.44;483427;483427
4;0.154;0.154;4;10
2;0.147;0.146;10151;10152
4;0.217;0.218;10151;10154
4;0.161;0.161;3;10
4;0.122;0.122;3;10
4;0.167;0.167;5;14
9;2.95;2.998;362638;449722
5;0.54;0.554;52774;53487
9;1.11;1.123;114942;116014
12;0.411;0.411;7;19
9;3.749;3.75;483427;483435
7;3.752;3.753;483427;483433
6;1.262;1.288;119005;172865
5;0.163;0.163;2;6
6;0.379;0.381;19281;19302
4;6.34;6.55;711904;959222
17;1.466;1.486;111506;112508
15;4.46;4.519;364622;607355
15;0.64;0.64;155;1023
1;0.04;0.041;736;736
7;0.239;0.239;176;251
6;0.751;0.758;44043;88018
6;0.436;0.443;30931;37835
6;0.536;0.544;37383;55114
4;0.138;0.138;5;17
4;0.142;0.142;16;22
2;0.265;0.264;18284;32278
5;0.165;0.165;420;426
5;0.151;0.151;3;8
5;0.185;0.185;1;5
6;0.342;0.342;6707;15710
6;0.315;0.315;3001;6474
6;0.31;0.311;6848;13158
36;1.248;1.248;392;441
35;4.659;4.707;483451;483490
35;1.237;1.237;513;721
79;2.772;2.773;1259;1483
11;3.762;3.811;483497;484152
75;6.183;6.233;483763;483989
5;0.221;0.221;833;888
10;3.616;3.676;483438;483647
8;0.318;0.318;187;216
43;1.353;1.353;102;1800
43;1.49;1.49;1;43
17;1.127;1.129;8335;40806
4;0.126;0.126;1;4
4;0.154;0.154;1;4
4;0.126;0.126;1;4
5;0.163;0.163;4;8
5;0.179;0.178;24;28
5;0.216;0.216;1141;1145
20;0.677;0.677;223;428
26;0.879;0.879;1;26
26;0.88;0.88;1;26
100;3.46;3.459;106;217
100;3.424;3.424;1;100
88;7.803;7.871;528694;572513
52;1.802;1.803;1530;7654
8;4.04;4.107;557835;559389
7;4.551;4.614;557835;559386
3;6.583;6.643;720630;1057799
6;4.515;4.592;571351;594735
6;4.579;4.645;367668;804053
3;6.485;6.547;720630;1057799
5;0.812;0.837;111249;111280
5;3.888;3.94;365279;647649
5;0.188;0.189;1013;1127
5;0.184;0.184;1063;1152
5;0.19;0.19;625;690
8;2.861;2.91;362501;459215
5;0.324;0.329;21679;21696
8;2.366;2.399;350173;372490
4;0.153;0.153;1;4
2;3.408;3.407;483427;483428
3;0.109;0.109;21;23
4;0.634;0.647;63048;83897
3;0.1;0.1;45;47
4;0.249;0.253;19259;19268
3;0.936;0.965;117423;142972
2;0.062;0.062;7;8
3;0.217;0.221;19264;19270
9;0.322;0.322;1;9
9;0.562;0.563;5796;15227
4;0.19;0.191;3174;4109
24;2.742;2.75;33207;221041
13;4.107;4.165;483493;483788
37;1.222;1.222;244;336
9;0.349;0.349;1;9
6;0.214;0.214;745;838
3;0.159;0.16;3778;3866
3;6.398;6.461;720630;1057799
7;4.159;4.227;571405;594984
7;4.839;4.908;367685;806161
7;0.777;0.789;65667;90323
6;0.348;0.353;21668;21686
7;0.857;0.877;111596;112008
6;0.643;0.655;63352;78301
5;0.168;0.168;98;102
6;0.816;0.834;111285;111405
3;6.383;6.455;720630;1057799
2;0.345;0.346;27974;28549
6;3.278;3.325;354393;580748
3;6.845;6.909;720630;1057799
5;4.109;4.235;571345;594689
5;4.203;4.256;358460;754669
3;6.872;6.938;720630;1057799
5;4.027;4.1;571347;594691
5;3.847;3.907;354581;681400
3;6.425;6.487;720630;1057799
7;0.878;0.907;111271;111406
7;4.788;4.851;358449;806611
3;6.42;6.542;720630;1057799
8;0.933;0.946;111819;112406
8;4.54;4.605;359614;799401
3;6.73;6.791;720630;1057799
6;4.036;4.102;571349;594720
6;4.523;4.594;367539;808036
3;6.556;6.693;720630;1057799
9;0.915;0.929;111461;111905
9;4.842;4.947;365889;818229
3;6.404;6.466;720630;1057799
7;0.876;0.902;111393;111782
7;4.738;4.809;367845;809589
5;0.196;0.196;1;5
5;0.196;0.196;1;5
5;0.211;0.211;1;5
10;3.7;3.775;366498;570956
8;0.427;0.431;21754;21854
10;0.983;1.004;111775;112472
34;1.18;1.181;1424;1489
8;3.556;3.612;483535;483711
33;1.168;1.168;1846;1982
4;0.131;0.131;6;10
3;3.76;3.755;483428;483430
4;3.489;3.538;483427;483431
11;0.364;0.364;68;85
10;0.382;0.382;185;209
9;0.33;0.33;736;747
5;0.586;0.591;21165;47055
2;0.096;0.096;17;23
5;0.174;0.174;3;8
14;0.472;0.472;21;39
16;3.823;3.872;483427;483443
13;0.407;0.407;20;38
4;6.6;6.688;721716;1081068
6;0.819;0.834;111255;111293
6;4.005;4.059;355364;670461
4;3.397;3.459;483433;483437
5;3.464;3.527;483666;483680
5;0.22;0.22;134;144
1;0.035;0.035;1;1
1;0.033;0.033;2;2
3;0.103;0.103;6;14
5;0.192;0.192;2150;2449
4;0.193;0.194;4134;5608
18;1.504;1.511;26232;118363
10;0.413;0.413;2535;7840
7;1.146;1.163;124701;130037
8;1.02;1.034;91576;96570
9;0.342;0.342;2061;2176
28;4.231;4.28;483488;483794
41;1.477;1.478;3005;3237
17;0.908;0.911;16228;29385
7;0.251;0.251;218;572
7;0.21;0.21;218;572
3;0.145;0.145;789;796
3;1.463;1.493;160991;202500
8;3.65;3.703;197889;468961
32;1.13;1.13;848;947
27;0.877;0.877;421;447
2;3.462;3.794;488173;489775
17;0.615;0.615;3735;4181
4;0.137;0.137;21;25
21;1.005;1.007;11676;19595
5;0.168;0.168;10;18
5;0.19;0.19;3;7
5;0.205;0.205;2417;2494
15;0.5;0.5;3;17
5;5.215;5.293;573839;717556
2;3.815;3.816;519305;535959
2;0.071;0.07;121;124
6;0.244;0.244;154;166
8;0.277;0.277;1495;1703
2;5.28;5.28;711842;824646
8;4.63;4.708;588373;628373
8;3.567;3.627;360618;582708
7;0.457;0.458;6711;15864
2;0.122;0.122;644;652
4;0.126;0.126;570;581
3;6.432;6.492;720630;1057799
2;0.29;0.29;28694;29245
11;3.44;3.484;355133;581501
24;0.836;0.836;26;52
23;4.287;4.277;483428;483450
15;0.527;0.527;154;266
6;0.589;0.601;35369;70860
1;0.053;0.052;3271;3271
6;0.269;0.271;12217;12567
30;0.97;0.97;1;30
30;4.354;4.355;483427;483456
30;0.972;0.972;1;30
5;0.321;0.323;9566;14484
5;1.276;1.288;69679;127087
5;0.186;0.186;329;379
10;3.799;3.852;483445;483485
17;0.587;0.587;165;224
5;3.48;3.544;483428;483446
3;0.175;0.176;1436;1482
29;0.976;0.976;706;747
13;0.451;0.451;737;843
5;0.228;0.228;2221;2776
4;0.203;0.203;5389;8224
17;1.173;1.175;10836;73259
5;0.165;0.165;22;76
5;0.212;0.212;155;182
2;0.084;0.084;1203;2066
23;0.737;0.737;45;175
13;0.449;0.449;36;178
23;0.753;0.753;533;846
3;6.41;6.47;720630;1057799
3;3.497;3.558;506939;508673
4;3.38;3.426;372549;599621
4;6.252;6.381;711904;959222
10;0.957;0.969;111422;111796
8;3.323;3.37;355846;564669
2;0.069;0.069;81;83
1;0.031;0.031;2;2
2;0.086;0.086;4;5
3;6.481;6.535;720630;1057799
5;3.244;3.287;350546;574378
5;4.147;4.205;365672;728596
3;6.984;7.047;720630;1057799
6;3.244;3.287;350552;574390
6;4.055;4.117;360722;710497
4;0.597;0.607;46695;82433
4;0.309;0.314;30406;32833
4;0.399;0.41;40567;50171
49;1.702;1.702;2966;3081
21;4.025;4.077;485861;487096
10;0.586;0.59;21774;37384
2;0.063;0.063;83;87
3;0.094;0.094;7;9
2;3.395;3.394;483435;483438
3;3.423;3.472;483848;483900
14;3.758;3.819;483476;483645
15;0.496;0.496;2;16
3;6.873;6.96;720630;1057799
6;0.976;1.007;113815;115188
6;4.463;4.52;358421;795526
2;0.105;0.105;17;19
3;0.099;0.099;1;3
3;0.125;0.125;1957;2045
11;0.42;0.42;120;167
11;0.378;0.378;128;194
11;0.376;0.376;103;166
12;1.009;1.015;23192;75052
7;3.963;4.035;508046;531007
4;3.648;3.706;499764;506753
5;0.167;0.167;3;7
6;3.492;3.554;483430;483437
7;3.625;3.625;483427;483433
5;0.15;0.15;5;9
5;0.155;0.155;2;6
5;0.179;0.179;1;5
11;0.372;0.372;246;393
1;0.153;0.152;15871;15871
12;0.403;0.403;77;112
7;0.755;0.77;46781;94567
7;0.466;0.474;31338;38502
7;0.524;0.535;37341;55048
4;0.612;0.624;46695;82433
4;0.284;0.29;26322;26451
4;0.427;0.437;40575;50169
7;0.762;0.773;48070;97777
7;0.466;0.476;34989;43138
7;0.582;0.593;41026;59887
7;0.944;0.959;67694;114178
7;0.472;0.478;36656;43815
7;0.553;0.565;41035;59872
2;0.061;0.061;4;5
2;0.068;0.068;26;27
2;0.06;0.06;37;39
5;0.164;0.164;217;290
5;0.185;0.185;113;165
5;0.156;0.156;408;524
8;0.296;0.296;1181;2255
7;0.255;0.255;67;82
8;0.26;0.26;19;26
3;6.759;6.824;720630;1057799
6;4.063;4.141;571399;594890
6;3.982;4.042;365649;700365
171;5.837;5.837;522;1641
166;5.544;5.544;310;638
163;6.202;6.207;25373;42324
2;0.072;0.072;304;458
5;0.199;0.199;2;6
5;0.176;0.176;86;94
3;0.092;0.092;1;3
3;0.127;0.127;1;3
3;0.104;0.104;1;3
9;3.587;3.653;483487;483527
14;0.841;0.847;49600;49897
19;0.631;0.631;13;50
17;1.259;1.279;84387;115030
13;3.666;3.715;483629;483780
17;1.362;1.377;115767;119737
3;6.462;6.522;720630;1057799
5;4.232;4.303;571363;594787
5;4.051;4.111;367371;717297
4;0.19;0.19;262;268
3;1.474;1.494;127542;194517
3;0.17;0.17;2002;2209
71;2.417;2.417;627;801
73;5.726;5.777;483933;485010
73;5.733;5.806;484260;484781
3;6.634;6.693;720630;1057799
5;4.035;4.094;571721;595493
5;3.965;4.025;365499;699750
3;6.703;6.763;720630;1057799
5;4.058;4.122;571367;594838
5;4.279;4.337;366278;740070
15;0.523;0.523;364;1230
5;0.275;0.277;10175;12737
22;0.737;0.737;184;444
15;0.557;0.557;38;53
6;0.228;0.228;47;52
3;1.278;1.302;140212;164814
3;6.749;6.812;720630;1057799
6;0.832;0.844;111693;112445
6;4.009;4.067;356422;706462
3;6.59;6.663;720630;1057799
5;4.309;4.385;571351;594703
5;4.205;4.26;358460;754669
5;0.174;0.174;19;23
3;3.362;3.417;483438;483441
4;1.519;1.545;146903;185217
3;6.405;6.473;720630;1057799
6;4.097;4.165;571357;594761
6;4.09;4.153;365648;697248
1;0.082;0.083;3776;3776
3;3.668;3.734;486568;496389
4;4.206;4.285;533034;582815
4;0.219;0.219;1900;2292
3;0.15;0.149;2437;4302
12;0.449;0.45;1202;7341
9;0.301;0.301;1;9
6;3.536;3.537;483427;483432
9;0.33;0.33;1;9
3;0.103;0.103;17;19
8;3.52;3.58;483451;483517
9;0.309;0.309;3;11
5;0.173;0.173;825;947
3;1.29;1.308;132359;173793
4;2.02;2.044;138324;266653
5;0.224;0.224;952;1641
13;0.417;0.417;61;78
11;0.507;0.507;3954;7758
31;1.042;1.042;44;92
35;1.091;1.091;114;179
9;0.802;0.807;29625;53747
15;0.54;0.54;258;333
17;0.561;0.561;1261;1292
6;0.225;0.225;1064;2832
2;0.08;0.08;750;763
10;0.355;0.355;1;10
8;0.249;0.249;165;190
5;0.19;0.19;6;12
5;0.153;0.153;9;16
5;0.154;0.154;10;18
