13;0.704;0.704;30;134
16;0.655;0.655;2;17
10;0.363;0.363;3;30
64;2.383;2.383;7;289
104;3.227;3.227;9;595
20;0.646;0.646;9;148
102;3.301;3.301;27;1022
99;3.105;3.105;47;2262
50;1.559;1.559;51;1470
50;1.629;1.629;61;1895
13;0.686;0.686;30;134
16;0.63;0.63;2;17
10;0.341;0.341;3;30
64;2.28;2.28;7;289
104;3.239;3.239;9;595
20;0.627;0.627;9;148
102;3.138;3.138;27;1022
99;3.122;3.122;47;2262
50;1.565;1.565;51;1470
50;1.51;1.51;61;1895
50;1.595;1.594;87;2390
50;1.63;1.63;98;3290
30;0.961;0.961;105;2495
33;1.02;1.02;1;33
8;0.348;0.348;69;397
6;0.299;0.3;2875;7601
15;0.646;0.654;20230;102520
49;1.635;1.632;950;45602
6;0.24;0.239;950;5700
14;0.543;0.546;27472;84484
3;0.143;0.143;1;3
15;0.563;0.563;5242;6996
9;0.346;0.346;161;196
7;0.219;0.219;1;7
8;0.325;0.325;1;8
15;1.302;1.301;60516;726184
4;0.357;0.362;81683;135264
14;0.505;0.505;1;14
19;0.689;0.689;394;530
20;0.629;0.629;4;37
4;0.138;0.138;1125;1128
4;0.123;0.123;1;4
30;1.057;1.057;6;63
6;0.201;0.201;2;7
11;0.362;0.362;84;238
3;0.714;0.714;483427;483429
22;0.752;0.752;95;137
22;0.773;0.773;123;305
18;0.617;0.617;12;33
6;0.257;0.257;59;144
3;0.101;0.101;640;671
24;0.737;0.737;23;64
16;0.563;0.563;88;255
4;0.124;0.124;33;43
3;0.106;0.106;5;9
9;0.292;0.292;27;59
5;0.172;0.173;923;927
3;0.096;0.096;13;15
16;0.507;0.507;1;16
18;0.612;0.612;431;500
